Event,City,date,Discipline,Rank,Athlete
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,TyrolWC,2016-05-21,boulder,22,Jakob Schubert
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,MeiringenWC,2016-04-16,boulder,5,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,Kranj,2015-11-15,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",Wujiang,2015-10-18,lead,5,Jakob Schubert
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,Puurs,2015-09-27,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,Stavanger,2015-08-22,lead,4,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,Imst,2015-08-01,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,Briançon,2015-07-18,lead,3,Jakob Schubert
"European Championship (L,S) - Chamonix (FRA) 2015",ChamECH15,2015-07-12,lead,6,Jakob Schubert
"European Championship (L,S) - Chamonix (FRA) 2015",ChamECH15,2015-07-12,speed,27,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",Chamonix,2015-07-12,speed,38,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",Chamonix,2015-07-12,lead,6,Jakob Schubert
IFSC Climbing Worldcup (B) - Vail (USA) 2015,Vail,2015-06-06,boulder,10,Jakob Schubert
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,Toronto15,2015-05-31,boulder,13,Jakob Schubert
European Championship (B) - Innsbruck (AUT) 2015,InnsbruckECH15,2015-05-16,boulder,4,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2014,Kranj,2014-11-16,lead,5,Jakob Schubert
IFSC Climbing Worldcup (L) - Inzai (JPN) 2014,Inzai,2014-10-26,lead,4,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014",Wujiang,2014-10-19,lead,17,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",Mokpo,2014-10-12,lead,1,Jakob Schubert
"IFSC Climbing World Championship (L, S) - Gijon (ESP) 2014",Gijon,2014-09-14,lead,5,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2014",Arco Rockmaster,2014-08-31,speed,2,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2014",Arco Rockmaster,2014-08-31,lead,4,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2014,Imst,2014-08-02,lead,3,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2014,Briançon,2014-07-20,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",Chamonix,2014-07-12,lead,2,Jakob Schubert
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",Haiyang,2014-06-22,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,Kranj,2013-11-17,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,Valence,2013-11-02,lead,4,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",Wujiang,2013-10-20,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",Mokpo,2013-10-12,lead,4,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",Mokpo,2013-10-12,speed,24,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",Perm,2013-09-29,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,Puurs,2013-09-21,lead,1,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2013",Arco Rockmaster,2013-09-07,lead,2,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2013",Arco Rockmaster,2013-09-07,boulder,4,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2013",Arco Rockmaster,2013-09-07,speed,5,Jakob Schubert
European Championship (B) - Eindhoven (NED) 2013,Eindhoven,2013-09-01,boulder,3,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2013,Munich,2013-08-25,boulder,10,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,Imst,2013-08-10,lead,2,Jakob Schubert
The World Games 2013 - Cali (COL) 2013,WG_2013,2013-08-04,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,Briançon,2013-07-20,lead,23,Jakob Schubert
"European Championship (L,S) - Chamonix (FRA) 2013",LSEuro Chamonix,2013-07-13,lead,7,Jakob Schubert
"European Championship (L,S) - Chamonix (FRA) 2013",LSEuro Chamonix,2013-07-13,speed,35,Jakob Schubert
IFSC Climbing Worldcup (B) - Vail (USA) 2013,Vail,2013-06-08,boulder,9,Jakob Schubert
IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,Toronto,2013-06-02,boulder,3,Jakob Schubert
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2013,Innsbruck,2013-05-18,boulder,7,Jakob Schubert
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,Log-Dragomer,2013-05-12,boulder,9,Jakob Schubert
IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,Kitzbühel,2013-04-27,boulder,1,Jakob Schubert
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,Millau,2013-04-06,boulder,13,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",Chongqing,2013-03-23,boulder,2,Jakob Schubert
Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2013,Promo Sheffield,2013-03-03,boulder,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,Kranj,2012-11-18,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,Inzai,2012-10-28,lead,2,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",Mokpo,2012-10-21,speed,19,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012",Mokpo,2012-10-21,lead,6,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",Xining,2012-10-13,lead,4,Jakob Schubert
IFSC Climbing Worldcup (L) - Atlanta (USA) 2012,Atlanta,2012-09-30,lead,2,Jakob Schubert
IFSC Climbing World Championship - Paris (FRA) 2012,WCH Paris,2012-09-16,lead,1,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",Arco_RM_12,2012-09-02,speed,1,Jakob Schubert
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",Arco_RM_12,2012-09-02,lead,2,Jakob Schubert
IFSC Climbing Worldcup (B) - Munich (GER) 2012,Munich,2012-08-26,boulder,3,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,Imst,2012-08-11,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,Briançon,2012-07-21,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",Chamonix,2012-07-13,lead,11,Jakob Schubert
IFSC Climbing Worldcup (B) - Vail (USA) 2012,Vail,2012-06-02,boulder,5,Jakob Schubert
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,Innsbruck,2012-05-19,boulder,4,Jakob Schubert
IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,Vienna,2012-04-28,boulder,23,Jakob Schubert
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,Log-Dragomer,2012-04-22,boulder,6,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",Chongqing,2012-04-14,boulder,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2011,Barcelona,2011-11-27,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,Kranj,2011-11-20,lead,3,Jakob Schubert
IFSC Climbing Worldcup (L) - Valence (FRA) 2011,Valence,2011-10-29,lead,5,Jakob Schubert
IFSC Climbing Worldcup (L) - Amman (JOR) 2011,Amman,2011-10-21,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Boulder (USA) 2011,Boulder,2011-10-09,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Puurs (BEL) 2011,Puurs,2011-10-01,lead,1,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011",Changzhi,2011-09-08,lead,1,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",Xining,2011-09-03,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,Briançon,2011-07-30,lead,1,Jakob Schubert
IFSC Climbing World Championships  - Arco (ITA) 2011,WCH Arco 2011,2011-07-24,lead,2,Jakob Schubert
Rockmaster Gala Duel - Arco (ITA) 2011,Rockmaster Duel,2011-07-24,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",Chamonix,2011-07-13,lead,1,Jakob Schubert
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011,Vienna,2011-05-14,boulder,9,Jakob Schubert
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",Milano,2011-04-17,boulder,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,WC Kranj,2010-11-14,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",WC Huaiji,2010-10-30,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,WC Puurs,2010-09-25,lead,2,Jakob Schubert
European Championship - Imst/Innsbruck (AUT) 2010,ECH Imst/Innsbruck,2010-09-18,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",WC Chuncheon,2010-08-30,lead,6,Jakob Schubert
"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",WC Xining,2010-08-21,lead,2,Jakob Schubert
Rock Master - World Championship Pre-event - Arco (ITA),Rockmaster Arco,2010-07-18,lead,2,Jakob Schubert
Rockmaster ARCO  2010 - Duel Lead,10_Arco_Duel,2010-07-18,lead,3,Jakob Schubert
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",Wc Chamonix,2010-07-13,lead,8,Jakob Schubert
IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,WC Greifensee,2010-05-15,boulder,23,Jakob Schubert
IFSC European Youth Series - Kranj (SLO) 2009,EYS Kranj,2009-11-22,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2009,WC Kranj,2009-11-15,lead,3,Jakob Schubert
IFSC Climbing Worldcup (L) - Brno (CZE) 2009,WC Brno,2009-11-07,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Puurs (BEL) 2009,WC Puurs,2009-09-26,lead,12,Jakob Schubert
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2009,,2009-09-06,lead,5,Jakob Schubert
IFSC World Youth Championships - Valence (FRA) 2009,,2009-08-30,lead,1,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2009,WC Imst,2009-08-22,lead,7,Jakob Schubert
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,WC Barcelona,2009-08-09,lead,6,Jakob Schubert
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",WC Chamonix,2009-07-13,lead,11,Jakob Schubert
IFSC Climbing World Championships  - Qinghai (CHN) 2009,Quinghai,2009-07-05,lead,26,Jakob Schubert
European Youth Series - Imst (AUT) 2009,EYS Imst,2009-05-24,lead,1,Jakob Schubert
IFSC Climbing Worldcup (B) - Hall (AUT) 2009,WC Hall,2009-05-02,boulder,21,Jakob Schubert
IFSC European Youth Series (L) - Kranj (SLO) 2008,08_EY_KR,2008-11-23,lead,2,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,08_WC_KR,2008-11-16,lead,5,Jakob Schubert
IFSC European Youth Series (L) - Annecy (FRA) 2008,08_EY_AN,2008-11-02,lead,1,Jakob Schubert
IFSC European Championship - Paris (FRA) 2008,Paris,2008-10-18,lead,6,Jakob Schubert
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,08_WC_PU,2008-09-27,lead,9,Jakob Schubert
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,08_WC_IM,2008-09-20,lead,7,Jakob Schubert
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,08_WC_BE,2008-09-13,lead,36,Jakob Schubert
Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2008,08_IE_AR,2008-09-07,lead,4,Jakob Schubert
IFSC Climbing World Youth Championship - Sydney (AUS) 2008,Sidney,2008-08-31,lead,1,Jakob Schubert
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,CHAMONIX,2008-07-13,lead,8,Jakob Schubert
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,QINGHAI,2008-06-28,lead,2,Jakob Schubert
IFSC European Youth Series (L+S) - Wuppertal (GER) 2008,08_EY_WU,2008-06-22,lead,1,Jakob Schubert
IFSC European Youth Series (L) - Prague (CZE) 2008,08_JS_PR,2008-05-18,lead,1,Jakob Schubert
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,HALL,2008-04-19,boulder,34,Jakob Schubert
European Youth Series - Kranj (SLO) 2007,EYS Kranj,2007-11-25,lead,6,Jakob Schubert
IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,Kranj,2007-11-18,lead,4,Jakob Schubert
European Youth Series - Linz (AUT) 2007,EYS Linz,2007-10-28,lead,1,Jakob Schubert
IFSC Climbing World Youth Championship - Ibarra (ECU) 2007,Ibarra,2007-08-26,speed,22,Jakob Schubert
IFSC Climbing World Youth Championship - Ibarra (ECU) 2007,Ibarra,2007-08-26,lead,1,Jakob Schubert
European Youth Series - Warsaw (POL) 2007,EYS Warsaw,2007-07-22,lead,1,Jakob Schubert
European Youth Series - Leipzig (GER) 2007,EYS Leipzig,2007-07-08,lead,1,Jakob Schubert
European Youth Series - Veliko Tarnovo (BUL) 2007,EYS Velika,2007-07-01,lead,4,Jakob Schubert
European Youth Series - Imst (AUT) 2007,EYS Imst,2007-05-20,lead,1,Jakob Schubert
European Youth Cup - Kranj (SLO) 2006,EXC Kranj,2006-11-26,lead,2,Jakob Schubert
European Youth Cup - Annecy (FRA) 2006,EYC Annecy,2006-10-29,lead,1,Jakob Schubert
European Youth Cup - Velika Tarnovo (BUL) 2006,EYC Velika Tarnovo,2006-10-08,lead,1,Jakob Schubert
UIAA World Youth Championship - Imst (AUT) 2006,Imst,2006-08-27,lead,2,Jakob Schubert
European Youth Cup - Gdansk (POL) 2006,EYC Gdansk,2006-07-23,lead,1,Jakob Schubert
European Youth Cup - Imst (AUT) 2006 after disqualification,EYC Imst,2006-05-28,lead,3,Jakob Schubert
European Youth Cup - Kranj (SLO) 2005,Kranj,2005-11-26,lead,3,Jakob Schubert
European Youth Cup - Penne (ITA) 2005,Penne,2005-11-05,lead,13,Jakob Schubert
European Youth Cup - Geneva (SUI) 2005,Geneva,2005-10-08,lead,10,Jakob Schubert
UIAA World Youth Championship - Bejing (CHN) 2005,Bejing,2005-08-25,lead,2,Jakob Schubert
European Youth Cup - Kranj (SLO) 2004,EYC Kranj,2004-11-27,lead,3,Jakob Schubert
UIAA World Youth Championship - Edinburgh (GBR) 2004,World Youth Champ.,2004-09-12,lead,33,Jakob Schubert
European Youth Cup - Imst (AUT) 2004,EYC Imst,2004-05-15,lead,16,Jakob Schubert
Olympic Qualifier Series Shanghai 2024,Shanghai,2024-05-19,boulder&lead,9,Yannick Flohé
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,6,Yannick Flohé
IFSC European Qualifier Laval 2023,Laval,2023-10-29,boulder&lead,5,Yannick Flohé
IFSC World Cup Koper 2023,Koper,2023-09-09,lead,6,Yannick Flohé
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,9,Yannick Flohé
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,18,Yannick Flohé
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,12,Yannick Flohé
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,35,Yannick Flohé
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,45,Yannick Flohé
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,35,Yannick Flohé
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,8,Yannick Flohé
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,5,Yannick Flohé
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,7,Yannick Flohé
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,11,Yannick Flohé
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",Japan,2022-10-22,boulder&lead,5,Yannick Flohé
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,Koper,2022-09-03,lead,3,Yannick Flohé
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder,13,Yannick Flohé
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,lead,6,Yannick Flohé
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,Briançon,2022-07-23,lead,4,Yannick Flohé
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",Chamonix,2022-07-10,lead,5,Yannick Flohé
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",Villars-sur-Ollon,2022-07-02,lead,4,Yannick Flohé
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,lead,7,Yannick Flohé
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,6,Yannick Flohé
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,1,Yannick Flohé
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-30,boulder,7,Yannick Flohé
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-23,boulder,5,Yannick Flohé
IFSC Europe - Continental Cup (B) - Brixen (ITA) 2022,Brixen,2022-05-08,boulder,3,Yannick Flohé
IFSC Europe - Continental Cup (B) - Prague (CZE) 2022,Prague,2022-05-01,boulder,4,Yannick Flohé
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,boulder,15,Yannick Flohé
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,combined,1,Yannick Flohé
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,speed,42,Yannick Flohé
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,lead,9,Yannick Flohé
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,Ljubljana,2021-09-04,lead,14,Yannick Flohé
IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021-07-18,lead,11,Yannick Flohé
IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021-07-13,lead,11,Yannick Flohé
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,boulder,11,Yannick Flohé
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,boulder,20,Yannick Flohé
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Salt Lake City,2021-05-23,boulder,24,Yannick Flohé
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021-04-17,boulder,19,Yannick Flohé
IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,Briançon,2020-08-22,lead,23,Yannick Flohé
IFSC Combined Qualifier - Toulouse/Tournefeuille (FRA) 2019,WCH Combined,2019-12-01,combined,18,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",XiamenWC,2019-10-20,lead,13,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",XiamenWC,2019-10-20,speed,32,Yannick Flohé
"European Championship (L,S) - Edinburgh (GBR) 2019",EdinCH19,2019-10-06,lead,16,Yannick Flohé
"European Championship (L,S) - Edinburgh (GBR) 2019",EdinCH19,2019-10-06,speed,23,Yannick Flohé
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,KranjWC,2019-09-29,lead,17,Yannick Flohé
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,WCH Combined,2019-08-21,combined,11,Yannick Flohé
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,3,Yannick Flohé
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,lead,40,Yannick Flohé
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,speed,56,Yannick Flohé
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,BriançonWC,2019-07-20,lead,11,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,10,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,53,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,speed,63,Yannick Flohé
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,lead,18,Yannick Flohé
IFSC Climbing Worldcup (B) - Vail (USA) 2019,VailWC,2019-06-08,boulder,19,Yannick Flohé
IFSC Climbing Worldcup (B) - Munich (GER) 2019,MunichWC,2019-05-19,boulder,41,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,speed,45,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,boulder,21,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,boulder,10,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,boulder,23,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,speed,52,Yannick Flohé
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,39,Yannick Flohé
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,combined,27,Yannick Flohé
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,41,Yannick Flohé
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,56,Yannick Flohé
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,29,Yannick Flohé
IFSC Climbing Worldcup (B) - Munich (GER) 2018,MunichWC,2018-08-18,boulder,20,Yannick Flohé
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,lead,4,Yannick Flohé
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,boulder,2,Yannick Flohé
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",ArcoWC,2018-07-28,lead,21,Yannick Flohé
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,15,Yannick Flohé
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,speed,63,Yannick Flohé
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,lead,18,Yannick Flohé
European Youth Cup (L) - Uster (SUI) 2018,EYC_L_SUI,2018-07-01,lead,1,Yannick Flohé
European Youth Cup (B) - Delft (NED) 2018,EYC_NED_18,2018-06-03,boulder,3,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,boulder,27,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,boulder,18,Yannick Flohé
European Youth Cup (B) - Graz (AUT) 2018,EYC_Graz_18,2018-04-29,boulder,16,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,speed,64,Yannick Flohé
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,boulder,18,Yannick Flohé
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,KranjWC,2017-11-12,lead,44,Yannick Flohé
"European Youth Championships (L,S) - Perm (RUS) 2017",EYCH_Perm_17,2017-10-01,speed,9,Yannick Flohé
"European Youth Championships (L,S) - Perm (RUS) 2017",EYCH_Perm_17,2017-10-01,lead,6,Yannick Flohé
European Youth Championships (B) - Slany (CZE) 2017,EYCH_Slany_17,2017-09-16,boulder,3,Yannick Flohé
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,speed,35,Yannick Flohé
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,lead,12,Yannick Flohé
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,boulder,5,Yannick Flohé
IFSC Youth World Championships Combined - Innsbruck (AUT) - 2017,YWCH Combined,2017-09-09,combined,6,Yannick Flohé
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,17,Yannick Flohé
IFSC Climbing Worldcup (L) - Briançon (FRA) 2017,BriançonWC,2017-07-29,lead,33,Yannick Flohé
European Youth Cup (B) - L'Argentière (FRA) 2017,EYC_Argentiere_17,2017-07-19,boulder,1,Yannick Flohé
IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,ChamonixWC,2017-07-13,lead,57,Yannick Flohé
European Youth Cup (L) - Uster (SUI) 2017,EYC_AUT_L_17,2017-06-25,lead,2,Yannick Flohé
European Youth Cup (L) - Dornbirn (AUT) 2017,EYC_AUT_L_17,2017-06-11,lead,3,Yannick Flohé
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,lead,14,Yannick Flohé
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,speed,47,Yannick Flohé
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,boulder,25,Yannick Flohé
"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",EYCH_Mitterdorf_16,2016-09-04,lead,9,Yannick Flohé
European Youth Championships (B) - Langenfeld (AUT) 2016,EYCH_Langenfeld_16,2016-08-06,boulder,4,Yannick Flohé
European Youth Cup (B) - L'Argentière (FRA) 2016,EYC_Argentiere_16,2016-07-27,boulder,3,Yannick Flohé
IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,BriançonWC,2016-07-23,lead,31,Yannick Flohé
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",ChamonixWC,2016-07-12,lead,62,Yannick Flohé
