Event,City,date,Discipline,Rank,Athlete
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,4,Dohyun Lee
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-30,boulder,10,Dohyun Lee
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",Seoul,2022-05-08,boulder,10,Dohyun Lee
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,41,Dohyun Lee
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,InzaiWC,2019-10-27,lead,39,Dohyun Lee
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",XiamenWC,2019-10-20,lead,22,Dohyun Lee
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,KranjWC,2019-09-29,lead,59,Dohyun Lee
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,75,Dohyun Lee
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,lead,66,Dohyun Lee
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,speed,53,Dohyun Lee
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,combined,61,Dohyun Lee
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,BriançonWC,2019-07-20,lead,31,Dohyun Lee
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,speed,54,Dohyun Lee
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",ChamonixWC,2019-07-13,lead,33,Dohyun Lee
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,speed,50,Dohyun Lee
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",VillarsWC,2019-07-06,lead,24,Dohyun Lee
Asian Youth Championships - Chongqing (CHN) 2018,Asian_Youth_Chp_18,2018-11-04,lead,2,Dohyun Lee
Asian Youth Championships - Chongqing (CHN) 2018,Asian_Youth_Chp_18,2018-11-04,boulder,8,Dohyun Lee
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,boulder,10,Dohyun Lee
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,lead,9,Dohyun Lee
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,speed,48,Dohyun Lee
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,boulder,20,Dohyun Lee
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,combined,23,Dohyun Lee
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,lead,29,Dohyun Lee
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,lead,8,Dohyun Lee
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,boulder,9,Dohyun Lee
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,lead,42,Dohyun Lee
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,boulder,35,Dohyun Lee
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,7,Toby Roberts
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,1,Toby Roberts
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,4,Toby Roberts
IFSC European Qualifier Laval 2023,Laval,2023-10-29,boulder&lead,1,Toby Roberts
IFSC World Cup Koper 2023,Koper,2023-09-09,lead,4,Toby Roberts
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,5,Toby Roberts
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,9,Toby Roberts
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,19,Toby Roberts
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,1,Toby Roberts
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,4,Toby Roberts
